fabric;amount;width
Ткань, Велсофт Однотонный жаккард, 280*205см;770.12;205
Ткань, Велсофт Однотонный жаккард, Бежевый узор 0.02, 280*205см;1784.1;205
Ткань, Велсофт Однотонный жаккард, Серый 0.01, 280*205см;1388.95;205
Ткань, Велсофт Однотонный жаккард, Серый узор 0.03, 280*205см;1734.8;205
Ткань, Велсофт Однотонный жаккард, Темно-серый 4.01, 280*205см;1832.4;205
Ткань, Велсофт, Бабочки 1.02, 280*205см;417.117;205
Ткань, Велсофт, Гномы , 280*205см;88.23;205
Ткань, Велсофт, Звездное небо 3.02, 280*205см;814.19;205
Ткань, Велсофт, Зебра 1.04, 280*205см;1655.572;205
Ткань, Велсофт, Лаванда 3.01, 280*205см;1278.73;205
Ткань, Велсофт, Леопард 1.01, 280*205см;1815.17;205
Ткань, Велсофт, Леопард Белый 1.05, 280*205см;3076.024;205
Ткань, Велсофт, Мрамор 2.01, 280*205см;2163.368;205
Ткань, Велсофт, Оранжевый градиент 4.02, 280*205см;1037.15;205
Ткань, Велсофт, Рыжие коты на бежевом 1, 280*205см;1766.6;205
Ткань, Велсофт, Сакура 3.03, 280*205см;1105.26;205
Ткань, Велсофт, Синие звезды на белом 3.04, 280*205см;1049.3;205
Ткань, Велсофт, Совы 1.03, 280*205см;1783.32;205
Ткань, Велсофт, Узор листья 2.02, 280*205см;2966.348;205
Ткань, Велсофт, цветной 280г, 2,05м;7500.05;205
Ткань, Махра, 400/160;2898.928;160
Ткань, Микрофибра, Бежевый с тиснением, 75/220;64;220
Ткань, Микрофибра, Бежевый с тиснением, 85/220;265165.99;220
Ткань, Микрофибра, Белый с бабочками, 110/220;3396.41;220
Ткань, Микрофибра, Белый с бабочками, 85/220;22291;220
Ткань, Микрофибра, Белый с тиснением, 85/220;15040.41;220
Ткань, Микрофибра, Зеленый с тиснением, 75/220;31970.59;220
Ткань, Микрофибра, Зеленый с тиснением, 85/220;29844;220
Ткань, Микрофибра, Лаванда с бабочками, 85/220;25328;220
