barcode;product_name;feature_name;fabric_name;fabric_cost
2000000000022;"Подушка ""Экофайбер"", в пакете";70х70;Ткань, Микрофибра Тик полиэстер, 85/220;0.5
2000027403660;"Одеяло ""Бамбук"", Зимнее, в пакете";2 сп.;Ткань, Полиэстер, Белый, 65/220;3.91
2000027403684;"Одеяло ""Бамбук"", Зимнее, в пакете";2 сп.;Ткань, Полиэстер, Белый, 65/220;3.91
2000027403776;"Одеяло ""Бамбук"", Зимнее, в пакете";Евро;Ткань, Полиэстер, Белый, 65/220;4.95
2000027405350;"Одеяло ""Верблюжья шерсть"", Облегченное, в пакете";1,5 сп.;Ткань, Полиэстер, Бежевый, 65/220;3.08
2000027406975;Простыня на резинке, Поплин, белый;90*200;Ткань, хлопок Поплин для КПБ, 110/220;1.63
2000027406982;Простыня на резинке, Поплин, белый;160*200;Ткань, хлопок Поплин для КПБ, 110/220;2.55
2000027406999;Простыня на резинке, Поплин, белый;180*200;Ткань, хлопок Поплин для КПБ, 110/220;2.79
2000027407071;Простыня на резинке, полисатин, 2309-18;90*200;Ткань, Полисатин, 75/220;1.63
2000027407293;Простыня на резинке, полисатин, 2309-19;180*200;Ткань, Полисатин, Белый, 100/240;2.25
2000027407453;Простыня на резинке, Сатин, геометрия;160*200;Ткань, Хлопок Сатин, 110/220;2.55
2000027407491;Подушка ортопедическая, Классика, в сумке;;Ткань, Хлопок Трикотажный , Белый, 300/220;0.2
2000027407880;Набор наволочек 2шт, Поплин, Зеленый;50*70;Ткань, хлопок Поплин для КПБ, 110/220;0.44
2000027407941;Наволочки с ушками , Поплин;50*70 2шт;Ткань, Хлопок Поплин отбеленный , 110/220;0.48
2000027408030;"КПБ, ""Pink cotton"", Поплин, 231417";2-х сп. с европростыней;Ткань, хлопок Поплин, Джунгли серый, 110/220;6.73
2000027408108;"КПБ, ""Magic cotton"", Сатин, 231405";евро;Ткань, Хлопок Сатин, 110/220;4.53
2000027408276;"КПБ, ""Vernisage"", satin soft , 2309-10";2-х сп.;Ткань, Полисатин, 75/220;1.83
2000027408344;"КПБ, ""Vernisage"", satin soft , 2309-15";евро;Ткань, Полисатин, 75/220;4.16
2000027408504;"КПБ, ""Magic cotton"", Сатин, 231402";2-х сп. с европростыней;Ткань, Хлопок Сатин, 110/220;2.49
2000027408665;Пододеяльник, Полисатин, 2309-10;1,5 сп 215х147;Ткань, Полисатин, Серый меланж, 75/220;3.1
2000027408726;"КПБ, ""Vernisage"", satin soft , 2309-16";1,5 сп.;Ткань, Полисатин, 75/220;4.65
2000027408870;"КПБ, ""Pink cotton"", Поплин, 231414";1,5 сп.;Ткань, хлопок Поплин для КПБ, 110/220;2.27
2000027409068;"КПБ, ""Moon cotton"", Поплин, 231211";2-х сп. с европростыней;Ткань, хлопок Поплин для КПБ, 110/220;2.49
